iter	Accuracy	Logloss
456	0.8857549182	0.2889456518
457	0.8857549182	0.288882346
458	0.8855178952	0.2886881073
459	0.8857549182	0.288588669
460	0.8859919412	0.288514701
461	0.8862289642	0.2883790111
462	0.8859919412	0.2882584255
463	0.8862289642	0.2880531942
464	0.8862289642	0.2877607355
465	0.8864659872	0.2876347051
466	0.8864659872	0.2874719944
467	0.8864659872	0.2873055027
468	0.8869400332	0.2871416866
469	0.8871770562	0.2869810876
470	0.8874140792	0.2868148067
471	0.8874140792	0.2867348987
472	0.8874140792	0.2865812788
473	0.8874140792	0.2864755039
474	0.8874140792	0.2863607954
475	0.8874140792	0.2862532401
476	0.8881251481	0.2861484538
477	0.8881251481	0.2860357881
478	0.8881251481	0.2858718965
479	0.8883621711	0.2858247112
480	0.8883621711	0.2857277573
481	0.8878881251	0.2856389931
482	0.8876511022	0.2855338197
483	0.8876511022	0.2854288807
484	0.8876511022	0.2853435822
485	0.8878881251	0.2851471137
486	0.8883621711	0.2850035885
487	0.8876511022	0.2848773078
488	0.8876511022	0.2848084984
489	0.8881251481	0.2847336296
490	0.8881251481	0.2846206266
491	0.8883621711	0.2845623128
492	0.8883621711	0.284457542
493	0.8883621711	0.2843896369
494	0.8883621711	0.2843399552
495	0.8885991941	0.2841326747
496	0.8885991941	0.2840146948
497	0.8885991941	0.2839211425
498	0.8885991941	0.2838204836
499	0.8885991941	0.283715212
500	0.8890732401	0.2834944959
501	0.8890732401	0.2834288984
502	0.8890732401	0.2833413211
503	0.8893102631	0.283172325
504	0.8893102631	0.2829070515
505	0.8888362171	0.2827789923
506	0.8888362171	0.2825932574
507	0.8890732401	0.2824980061
508	0.8890732401	0.282395754
509	0.8888362171	0.2822639251
510	0.8890732401	0.2821492948
511	0.8890732401	0.2819231049
512	0.8890732401	0.2818684704
513	0.8890732401	0.2816892579
514	0.8890732401	0.2816338386
515	0.8893102631	0.2815231361
516	0.8893102631	0.2813241796
517	0.8895472861	0.2812249231
518	0.8895472861	0.2810550735
519	0.8895472861	0.2808157573
520	0.8895472861	0.2807092896
521	0.8895472861	0.2805881923
522	0.8895472861	0.280425632
523	0.8895472861	0.2802225461
524	0.8895472861	0.2801366997
525	0.8897843091	0.2800375315
526	0.8900213321	0.2799516232
527	0.8900213321	0.2798588697
528	0.8900213321	0.2797480846
529	0.8902583551	0.279656447
530	0.8902583551	0.2795723384
531	0.8904953781	0.2794513406
532	0.890732401	0.2793505499
533	0.890969424	0.2792618896
534	0.890969424	0.2790992753
535	0.891206447	0.2789588931
536	0.891206447	0.2788659679
537	0.89144347	0.2787121669
538	0.89144347	0.2785067578
539	0.891680493	0.2783600183
540	0.891680493	0.2783098884
541	0.891917516	0.2781768073
542	0.891680493	0.2781238344
543	0.891680493	0.2779527718
544	0.891680493	0.2778767257
545	0.891680493	0.2777948322
546	0.891680493	0.2776383275
547	0.891680493	0.2775701936
548	0.891917516	0.2773524109
549	0.891917516	0.2772938302
550	0.891917516	0.2771816657
551	0.891917516	0.2771011646
552	0.892154539	0.2769462788
553	0.892154539	0.276870499
554	0.892154539	0.2767122113
555	0.892154539	0.276643539
556	0.892391562	0.2764910076
557	0.892628585	0.2764067038
558	0.892391562	0.2763360968
559	0.892628585	0.2762164293
560	0.892628585	0.2760903684
561	0.892628585	0.2760265456
562	0.892628585	0.2758746838
563	0.892628585	0.2758140744
564	0.892628585	0.2757470766
565	0.892154539	0.2756851089
566	0.892628585	0.2754712244
567	0.892865608	0.275384995
568	0.892628585	0.2752448843
569	0.892628585	0.2751752629
570	0.892865608	0.2751151728
571	0.892865608	0.2749834252
572	0.893102631	0.2748364203
573	0.893102631	0.2746727644
574	0.893102631	0.274588761
575	0.893102631	0.2744513388
576	0.893102631	0.274372582
577	0.8933396539	0.2742930286
578	0.8935766769	0.274081158
579	0.8935766769	0.2740044394
580	0.8935766769	0.2739253913
581	0.8935766769	0.273802038
582	0.8935766769	0.2736936103
583	0.8933396539	0.273596591
584	0.8933396539	0.2734937449
585	0.893102631	0.273372815
586	0.893102631	0.2732895544
587	0.893102631	0.273148563
588	0.893102631	0.2730582777
589	0.893102631	0.2729904362
590	0.893102631	0.2729555179
591	0.893102631	0.272819167
592	0.893102631	0.2727534142
593	0.8933396539	0.272616281
594	0.8933396539	0.272558385
595	0.8933396539	0.2725061268
596	0.8935766769	0.2723746614
597	0.8940507229	0.2722967403
598	0.8938136999	0.2722264509
599	0.8938136999	0.2720946433
600	0.8940507229	0.2720026655
601	0.8942877459	0.2719312443
602	0.8942877459	0.2718310775
603	0.8942877459	0.2717349872
604	0.8938136999	0.2716858677
605	0.8945247689	0.2715163821
606	0.8947617919	0.2713732462
607	0.8947617919	0.2713092883
608	0.8949988149	0.271146815
609	0.8949988149	0.271058517
610	0.8949988149	0.2709439081
611	0.8949988149	0.2708590588
612	0.8949988149	0.270803415
613	0.8949988149	0.2706695818
614	0.8949988149	0.2706328822
615	0.8949988149	0.2705686098
616	0.8949988149	0.2704463492
617	0.8949988149	0.2703164897
618	0.8949988149	0.2702365365
619	0.8949988149	0.2701826253
620	0.8949988149	0.2700062447
621	0.8952358379	0.2699289966
622	0.8952358379	0.2698065591
623	0.8952358379	0.2697389509
624	0.8952358379	0.2695869329
625	0.8949988149	0.2694548102
626	0.8949988149	0.2693801875
627	0.8949988149	0.2693068527
628	0.8949988149	0.2692388451
629	0.8949988149	0.2691218467
630	0.8949988149	0.2690344537
631	0.8952358379	0.2689228742
